"filename", "language", "Verilog", "comment", "blank", "total"
"c:\Users\tphan\OneDrive\Desktop\Risc-v Processor\Control_Unit.v", "Verilog", 5, 0, -2, 3
"c:\Users\tphan\OneDrive\Desktop\Risc-v Processor\Main_Decoder.v", "Verilog", 12, 0, 3, 15
"Total", "-", 17, 0, 1, 18
