"filename", "language", "Verilog", "comment", "blank", "total"
"c:\Users\tphan\OneDrive\Desktop\Risc-v Processor\Instruction_Memory.v", "Verilog", 3, 0, 1, 4
"Total", "-", 3, 0, 1, 4
