"filename", "language", "Verilog", "comment", "blank", "total"
"c:\Users\tphan\OneDrive\Desktop\Risc-v Processor\Data_Memory.v", "Verilog", -1, 1, -2, -2
"Total", "-", -1, 1, -2, -2
