"filename", "language", "Verilog", "comment", "blank", "total"
"c:\Users\tphan\OneDrive\Desktop\Risc-v Processor\ProgramCounter.v", "Verilog", 13, 0, 2, 15
"Total", "-", 13, 0, 2, 15
